dataset,features,ratio,args,mean_acc,std_acc
citeseer,ids_labeled,0.1,0.0,0.2281803005008347,0.023653710218422337
citeseer,ids_labeled,0.1,1.0,0.3631385642737896,0.014367352900707207
citeseer,ids_labeled,0.1,2.0,0.4320200333889816,0.012982595175457502
citeseer,ids_labeled,0.1,3.0,0.460567612687813,0.012827820982167577
citeseer,ids_labeled,0.2,0.0,0.30661157024793384,0.014526283038659
citeseer,ids_labeled,0.2,1.0,0.44049586776859495,0.009767413481149621
citeseer,ids_labeled,0.2,2.0,0.4888054094665664,0.01289671971691653
citeseer,ids_labeled,0.2,3.0,0.5014274981217131,0.009491577278649617
citeseer,ids_labeled,0.30000000000000004,0.0,0.3684843280377844,0.016315764362464832
citeseer,ids_labeled,0.30000000000000004,1.0,0.4900386431945041,0.013348161572302225
citeseer,ids_labeled,0.30000000000000004,2.0,0.5234435379991413,0.00894363805162004
citeseer,ids_labeled,0.30000000000000004,3.0,0.530055817947617,0.010655212309639388
citeseer,ids_labeled,0.4,0.0,0.4255883825738608,0.010766990245850469
citeseer,ids_labeled,0.4,1.0,0.5297946920380571,0.005351767498537548
citeseer,ids_labeled,0.4,2.0,0.5516274411617427,0.010054448629523139
citeseer,ids_labeled,0.4,3.0,0.5497746619929894,0.013551052929285035
citeseer,ids_labeled,0.5,0.0,0.468389423076923,0.014470852142126997
citeseer,ids_labeled,0.5,1.0,0.553545673076923,0.01443267242243043
citeseer,ids_labeled,0.5,2.0,0.5698317307692308,0.014455869949417884
citeseer,ids_labeled,0.5,3.0,0.5650240384615385,0.014549945048988702
citeseer,ids_labeled,0.6,0.0,0.5047332832456799,0.014700534281270062
citeseer,ids_labeled,0.6,1.0,0.5735537190082645,0.015047985014855924
citeseer,ids_labeled,0.6,2.0,0.582419233658903,0.018926904128182948
citeseer,ids_labeled,0.6,3.0,0.5797896318557475,0.018383090002993548
citeseer,ids_labeled,0.7000000000000001,0.0,0.5415415415415415,0.019813190309381425
citeseer,ids_labeled,0.7000000000000001,1.0,0.5931931931931932,0.02147530168922764
citeseer,ids_labeled,0.7000000000000001,2.0,0.5986986986986987,0.020116827448287283
citeseer,ids_labeled,0.7000000000000001,3.0,0.5946946946946947,0.019966840725569118
citeseer,ids_labeled,0.8,0.0,0.5666666666666667,0.01979604442473986
citeseer,ids_labeled,0.8,1.0,0.6031531531531531,0.01898012460483028
citeseer,ids_labeled,0.8,2.0,0.6025525525525526,0.020709474541601554
citeseer,ids_labeled,0.8,3.0,0.5972972972972974,0.01931698523816237
citeseer,ids_labeled,0.9,0.0,0.5918918918918918,0.023833495399762285
citeseer,ids_labeled,0.9,1.0,0.615015015015015,0.030355262517116115
citeseer,ids_labeled,0.9,2.0,0.609009009009009,0.023679545625733177
citeseer,ids_labeled,0.9,3.0,0.6039039039039038,0.02650101706552279
citeseer,proba,0.1,0.0,0.3200667779632721,0.01451744662150735
citeseer,proba,0.1,1.0,0.4627045075125209,0.012851553537305892
citeseer,proba,0.1,2.0,0.5169282136894825,0.016662406565148436
citeseer,proba,0.2,0.0,0.40676183320811427,0.011342946021951574
citeseer,proba,0.2,1.0,0.5466190833959429,0.009180279175500317
citeseer,proba,0.2,2.0,0.587114951164538,0.0072463913324607755
citeseer,proba,0.30000000000000004,0.0,0.48012022327179055,0.021385077398709925
citeseer,proba,0.30000000000000004,1.0,0.6129669386002576,0.010370637461086912
citeseer,proba,0.30000000000000004,2.0,0.633104336625161,0.010796536829711146
citeseer,proba,0.4,0.0,0.5431647471206811,0.011462838747518621
citeseer,proba,0.4,1.0,0.6433149724586882,0.008838883893843961
citeseer,proba,0.4,2.0,0.6602403605408111,0.010776818863959405
citeseer,proba,0.5,0.0,0.5920673076923076,0.012373906879316124
citeseer,proba,0.5,1.0,0.6765625,0.012919663670564567
citeseer,proba,0.5,2.0,0.6866586538461539,0.013252076309166548
citeseer,proba,0.6,0.0,0.6274229902329076,0.014626323788218036
citeseer,proba,0.6,1.0,0.6941397445529678,0.01227121952947522
citeseer,proba,0.6,2.0,0.7009015777610819,0.014133463127657805
citeseer,proba,0.7000000000000001,0.0,0.6605605605605607,0.020078049587658027
citeseer,proba,0.7000000000000001,1.0,0.7080080080080081,0.017318892359657233
citeseer,proba,0.7000000000000001,2.0,0.7117117117117115,0.015261390224936652
citeseer,proba,0.8,0.0,0.684984984984985,0.02543015412428466
citeseer,proba,0.8,1.0,0.715015015015015,0.021243873305121827
citeseer,proba,0.8,2.0,0.7181681681681682,0.021211421425102916
citeseer,proba,0.9,0.0,0.6936936936936936,0.02925253092332954
citeseer,proba,0.9,1.0,0.7156156156156156,0.031177605972641978
citeseer,proba,0.9,2.0,0.7156156156156157,0.03289777263928077
citeseer,rwr,0.1,0.1,0.2838397328881469,0.03012643076544304
citeseer,rwr,0.1,0.30000000000000004,0.383372287145242,0.03382494089685125
citeseer,rwr,0.1,0.5000000000000001,0.4684474123539233,0.030761785797384866
citeseer,rwr,0.1,0.7000000000000001,0.5295158597662771,0.01996057378472571
citeseer,rwr,0.1,0.9000000000000001,0.5690484140233723,0.010259893133029574
citeseer,rwr,0.2,0.1,0.38170548459804654,0.03528401004112054
citeseer,rwr,0.2,0.30000000000000004,0.5097670924117206,0.03487617009187637
citeseer,rwr,0.2,0.5000000000000001,0.5703606311044327,0.02032260629953521
citeseer,rwr,0.2,0.7000000000000001,0.5972577009767093,0.01489260376944969
citeseer,rwr,0.2,0.9000000000000001,0.6171675432006012,0.010235007842487561
citeseer,rwr,0.30000000000000004,0.1,0.4711034778875054,0.03385685062878313
citeseer,rwr,0.30000000000000004,0.30000000000000004,0.5830399313009875,0.02310223312839418
citeseer,rwr,0.30000000000000004,0.5000000000000001,0.6234864748819235,0.017483801660012985
citeseer,rwr,0.30000000000000004,0.7000000000000001,0.6393731215113783,0.009263161867392672
citeseer,rwr,0.30000000000000004,0.9000000000000001,0.6497638471446974,0.00973456983307251
citeseer,rwr,0.4,0.1,0.529043565348022,0.027897875484476333
citeseer,rwr,0.4,0.30000000000000004,0.6238357536304456,0.017662946570000736
citeseer,rwr,0.4,0.5000000000000001,0.6523284927391086,0.00954511570473228
citeseer,rwr,0.4,0.7000000000000001,0.6649474211316975,0.010652524801356365
citeseer,rwr,0.4,0.9000000000000001,0.6690535803705557,0.012469607993661948
citeseer,rwr,0.5,0.1,0.5853365384615384,0.02048760845439751
citeseer,rwr,0.5,0.30000000000000004,0.6617788461538463,0.013395437335588739
citeseer,rwr,0.5,0.5000000000000001,0.6771634615384616,0.011707358724974968
citeseer,rwr,0.5,0.7000000000000001,0.6861778846153846,0.01404188212044071
citeseer,rwr,0.5,0.9000000000000001,0.6927283653846154,0.013004026381815208
citeseer,rwr,0.6,0.1,0.6181066867017281,0.01329942743188584
citeseer,rwr,0.6,0.30000000000000004,0.6834710743801654,0.015803626998838555
citeseer,rwr,0.6,0.5000000000000001,0.693764087152517,0.015189034437558202
citeseer,rwr,0.6,0.7000000000000001,0.7020285499624344,0.015792312248777116
citeseer,rwr,0.6,0.9000000000000001,0.7078136739293764,0.014902444761876412
citeseer,rwr,0.7000000000000001,0.1,0.6475475475475475,0.017398422558092298
citeseer,rwr,0.7000000000000001,0.30000000000000004,0.6972972972972973,0.018757902908897256
citeseer,rwr,0.7000000000000001,0.5000000000000001,0.7083083083083084,0.015933778411951594
citeseer,rwr,0.7000000000000001,0.7000000000000001,0.7139139139139139,0.015498823186304219
citeseer,rwr,0.7000000000000001,0.9000000000000001,0.7220220220220221,0.015107784448602765
citeseer,rwr,0.8,0.1,0.675075075075075,0.020650725859025346
citeseer,rwr,0.8,0.30000000000000004,0.7117117117117117,0.019957359396776904
citeseer,rwr,0.8,0.5000000000000001,0.722972972972973,0.021611539747131474
citeseer,rwr,0.8,0.7000000000000001,0.721171171171171,0.021736362769878077
citeseer,rwr,0.8,0.9000000000000001,0.7316816816816817,0.025697179411649618
citeseer,rwr,0.9,0.1,0.6852852852852853,0.026852213347917903
citeseer,rwr,0.9,0.30000000000000004,0.7063063063063063,0.025902532916333654
citeseer,rwr,0.9,0.5000000000000001,0.721021021021021,0.02702517325789761
citeseer,rwr,0.9,0.7000000000000001,0.7234234234234234,0.026349343093808583
citeseer,rwr,0.9,0.9000000000000001,0.7285285285285286,0.028106568064379334
cora,alchemy_bow,0.1,-1.0,0.6439704675963904,0.01073262341088407
cora,alchemy_bow,0.2,-1.0,0.6919704660821412,0.010298642511166266
cora,alchemy_bow,0.30000000000000004,-1.0,0.7154535864978903,0.007542378505313963
cora,alchemy_bow,0.4,-1.0,0.7324923076923077,0.009035193080608548
cora,alchemy_bow,0.5,-1.0,0.742245199409158,0.0057630230973508
cora,alchemy_bow,0.6,-1.0,0.7487084870848709,0.008009259825878854
cora,alchemy_bow,0.7000000000000001,-1.0,0.7551045510455106,0.008783087887796692
cora,alchemy_bow,0.8,-1.0,0.766420664206642,0.01659833124336477
